DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\warnings.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\decouple.py first seen with mtime 1739036203.8046904
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\unittest\loader.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1739036232.4061818
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1739036229.0207326
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\prometheus_client\asgi.py first seen with mtime 1739046229.5295393
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\__init__.py first seen with mtime 1739036231.9532971
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework_simplejwt\token_blacklist\admin.py first seen with mtime 1739036252.521037
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1739036250.474932
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1739036231.8434656
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\ssl.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\asyncio\locks.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\nturl2path.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,613 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\__init__.py first seen with mtime 1738695912.0
